Symbol,Name,IPOYear,Sector,industry,primaryExchange,secType,currency,exchange,priceIncrement
WTFCM,Wintrust Financial Corporation,,Finance,Major Banks,ISLAND,STK,USD,,
WTFCW,Wintrust Financial Corporation,,Finance,Major Banks,ISLAND,STK,USD,,
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,,n/a,n/a,ISLAND,STK,USD,,
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,,n/a,n/a,ISLAND,STK,USD,,
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,,n/a,n/a,ISLAND,STK,USD,,
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,,n/a,n/a,ISLAND,STK,USD,,
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,,n/a,n/a,ISLAND,STK,USD,,
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,,n/a,n/a,ISLAND,STK,USD,,
DXGE,WisdomTree Germany Hedged Equity Fund,,n/a,n/a,ISLAND,STK,USD,,
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,,n/a,n/a,ISLAND,STK,USD,,
WETF,"WisdomTree Investments, Inc.",,Finance,Investment Bankers/Brokers/Service,ISLAND,STK,USD,,
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,,n/a,n/a,ISLAND,STK,USD,,
GULF,WisdomTree Middle East Dividend Fund,,n/a,n/a,ISLAND,STK,USD,,
HYND,WisdomTree Negative Duration High Yield Bond Fund,,n/a,n/a,ISLAND,STK,USD,,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,,n/a,n/a,ISLAND,STK,USD,,
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,,n/a,n/a,ISLAND,STK,USD,,
WIX,Wix.com Ltd.,2013,Technology,"Computer Software: Programming, Data Processing",ISLAND,STK,USD,,
WMIH,WMIH Corp.,,Finance,Finance: Consumer Services,ISLAND,STK,USD,,
WWD,"Woodward, Inc.",,Energy,Industrial Machinery/Components,ISLAND,STK,USD,,
WDAY,"Workday, Inc.",,Technology,EDP Services,ISLAND,STK,USD,,
WKHS,"Workhorse Group, Inc.",,Capital Goods,Auto Manufacturing,ISLAND,STK,USD,,
WRLD,World Acceptance Corporation,1991,Finance,Finance: Consumer Services,ISLAND,STK,USD,,
WMGI,Wright Medical Group N.V.,2011,Health Care,Industrial Specialties,ISLAND,STK,USD,,
WMGIZ,Wright Medical Group N.V.,,Health Care,Industrial Specialties,ISLAND,STK,USD,,
WSFS,WSFS Financial Corporation,,Finance,Major Banks,ISLAND,STK,USD,,
WSCI,WSI Industries Inc.,,Technology,Industrial Machinery/Components,ISLAND,STK,USD,,
WVFC,WVS Financial Corp.,,Finance,Banks,ISLAND,STK,USD,,
WYNN,"Wynn Resorts, Limited",2002,Consumer Services,Hotels/Resorts,ISLAND,STK,USD,,
XBIT,XBiotech Inc.,2015,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
XELB,"Xcel Brands, Inc",,Miscellaneous,Multi-Sector Companies,ISLAND,STK,USD,,
XEL,Xcel Energy Inc.,,Public Utilities,Power Generation,ISLAND,STK,USD,,
XCRA,Xcerra Corporation,,Capital Goods,Electrical Products,ISLAND,STK,USD,,
XNCR,"Xencor, Inc.",2013,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
XBIO,"Xenetic Biosciences, Inc.",,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
XENE,Xenon Pharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
XERS,"Xeris Pharmaceuticals, Inc.",2018,n/a,n/a,ISLAND,STK,USD,,
XGTI,"XG Technology, Inc",2013,Consumer Durables,Telecommunications Equipment,ISLAND,STK,USD,,
XGTIW,"XG Technology, Inc",2013,Consumer Durables,Telecommunications Equipment,ISLAND,STK,USD,,
XLNX,"Xilinx, Inc.",1990,Technology,Semiconductors,ISLAND,STK,USD,,
XOMA,XOMA Corporation,1986,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
XPER,Xperi Corporation,,Technology,Semiconductors,ISLAND,STK,USD,,
XPLR,Xplore Technologies Corp,,Technology,Computer Manufacturing,ISLAND,STK,USD,,
XSPA,"XpresSpa Group, Inc. ",,Consumer Services,Other Consumer Services,ISLAND,STK,USD,,
XSPL,"Xspand Products Lab, Inc.",2018,Consumer Non-Durables,Recreational Products/Toys,ISLAND,STK,USD,,
XTLB,XTL Biopharmaceuticals Ltd.,,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
XNET,Xunlei Limited,2014,Technology,Computer Software: Prepackaged Software,ISLAND,STK,USD,,
YNDX,Yandex N.V.,2011,Technology,"Computer Software: Programming, Data Processing",ISLAND,STK,USD,,
YRIV,Yangtze River Port and Logistics Limited ,,Finance,Real Estate,ISLAND,STK,USD,,
YTRA,"Yatra Online, Inc.",,Consumer Services,Transportation Services,ISLAND,STK,USD,,
YTEN,"Yield10 Bioscience, Inc.",,Basic Industries,Containers/Packaging,ISLAND,STK,USD,,
YIN,Yintech Investment Holdings Limited,2016,Finance,Investment Bankers/Brokers/Service,ISLAND,STK,USD,,
YOGA,"YogaWorks, Inc.",2017,Consumer Services,Other Consumer Services,ISLAND,STK,USD,,
YGYI,"Youngevity International, Inc.",,Consumer Services,Catalog/Specialty Distribution,ISLAND,STK,USD,,
YRCW,"YRC Worldwide, Inc.",,Transportation,Trucking Freight/Courier Services,ISLAND,STK,USD,,
YECO,Yulong Eco-Materials Limited,2017,Capital Goods,Building Materials,ISLAND,STK,USD,,
YY,YY Inc.,2012,Technology,EDP Services,ISLAND,STK,USD,,
ZFGN,"Zafgen, Inc.",2014,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
ZAGG,ZAGG Inc,,Consumer Services,Other Specialty Stores,ISLAND,STK,USD,,
ZLAB,Zai Lab Limited,2017,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
