date,prices
28-02-2011 22:00,1.282285
01-03-2011 22:00,1.27921
02-03-2011 22:00,1.280485
03-03-2011 22:00,1.30132
04-03-2011 22:00,1.294805
07-03-2011 22:00,1.294505
08-03-2011 22:00,1.30028
09-03-2011 22:00,1.292885
10-03-2011 22:00,1.28586
11-03-2011 22:00,1.292055
14-03-2011 21:00,1.293425
15-03-2011 21:00,1.282885
16-03-2011 21:00,1.262025
17-03-2011 21:00,1.25989
18-03-2011 21:00,1.27886
21-03-2011 21:00,1.28683
22-03-2011 21:00,1.282495
23-03-2011 21:00,1.279815
24-03-2011 21:00,1.28797
25-03-2011 21:00,1.295855
28-03-2011 21:00,1.291605
29-03-2011 21:00,1.29868
30-03-2011 21:00,1.2974
31-03-2011 21:00,1.301035
01-04-2011 21:00,1.31523
04-04-2011 21:00,1.312675
05-04-2011 21:00,1.31615
06-04-2011 21:00,1.316965
07-04-2011 21:00,1.31124
08-04-2011 21:00,1.31278
11-04-2011 21:00,1.30877
12-04-2011 21:00,1.29869
13-04-2011 21:00,1.29454
14-04-2011 21:00,1.293
15-04-2011 21:00,1.28743
18-04-2011 21:00,1.275965
19-04-2011 21:00,1.28986
20-04-2011 21:00,1.289695
21-04-2011 21:00,1.289445
22-04-2011 21:00,1.288695
25-04-2011 21:00,1.284745
26-04-2011 21:00,1.28165
27-04-2011 21:00,1.293265
28-04-2011 21:00,1.29493
29-04-2011 21:00,1.28171
02-05-2011 21:00,1.283265
03-05-2011 21:00,1.27688
04-05-2011 21:00,1.277745
05-05-2011 21:00,1.2655
06-05-2011 21:00,1.25872
09-05-2011 21:00,1.25229
10-05-2011 21:00,1.267675
11-05-2011 21:00,1.25995
12-05-2011 21:00,1.259425
13-05-2011 21:00,1.258665
16-05-2011 21:00,1.252275
17-05-2011 21:00,1.253065
18-05-2011 21:00,1.25512
19-05-2011 21:00,1.26032
20-05-2011 21:00,1.24459
23-05-2011 21:00,1.241505
24-05-2011 21:00,1.24095
25-05-2011 21:00,1.229365
26-05-2011 21:00,1.22433
27-05-2011 21:00,1.21816
30-05-2011 21:00,1.21719
31-05-2011 21:00,1.229465
01-06-2011 21:00,1.2063
02-06-2011 21:00,1.22084
03-06-2011 21:00,1.222325
06-06-2011 21:00,1.21658
07-06-2011 21:00,1.22848
08-06-2011 21:00,1.21916
09-06-2011 21:00,1.220855
10-06-2011 21:00,1.20831
13-06-2011 21:00,1.20681
14-06-2011 21:00,1.22077
15-06-2011 21:00,1.20932
16-06-2011 21:00,1.203945
17-06-2011 21:00,1.214025
20-06-2011 21:00,1.21047
21-06-2011 21:00,1.211385
22-06-2011 21:00,1.204715
23-06-2011 21:00,1.19586
24-06-2011 21:00,1.188095
27-06-2011 21:00,1.193145
28-06-2011 21:00,1.195635
29-06-2011 21:00,1.20414
30-06-2011 21:00,1.218895
01-07-2011 21:00,1.233025
04-07-2011 21:00,1.232805
05-07-2011 21:00,1.21284
06-07-2011 21:00,1.20169
07-07-2011 21:00,1.212795
08-07-2011 21:00,1.19287
11-07-2011 21:00,1.17272
12-07-2011 21:00,1.160875
13-07-2011 21:00,1.158085
14-07-2011 21:00,1.15409
15-07-2011 21:00,1.150765
18-07-2011 21:00,1.15383
19-07-2011 21:00,1.16644
20-07-2011 21:00,1.165635
21-07-2011 21:00,1.175405
22-07-2011 21:00,1.17526
25-07-2011 21:00,1.158835
26-07-2011 21:00,1.16266
27-07-2011 21:00,1.15176
28-07-2011 21:00,1.148495
29-07-2011 21:00,1.13142
01-08-2011 21:00,1.116525
02-08-2011 21:00,1.0827
03-08-2011 21:00,1.103325
04-08-2011 21:00,1.07657
05-08-2011 21:00,1.09326
08-08-2011 21:00,1.07055
09-08-2011 21:00,1.03649
10-08-2011 21:00,1.03007
11-08-2011 21:00,1.084695
12-08-2011 21:00,1.107495
15-08-2011 21:00,1.132985
16-08-2011 21:00,1.14678
17-08-2011 21:00,1.13979
18-08-2011 21:00,1.138175
19-08-2011 21:00,1.131245
22-08-2011 21:00,1.134765
23-08-2011 21:00,1.144215
24-08-2011 21:00,1.14713
25-08-2011 21:00,1.14033
26-08-2011 21:00,1.170015
29-08-2011 21:00,1.18378
30-08-2011 21:00,1.184295
31-08-2011 21:00,1.15834
01-09-2011 21:00,1.13433
02-09-2011 21:00,1.121285
05-09-2011 21:00,1.10976
06-09-2011 21:00,1.20672
07-09-2011 21:00,1.208815
08-09-2011 21:00,1.21536
09-09-2011 21:00,1.20722
12-09-2011 21:00,1.204045
13-09-2011 21:00,1.20416
14-09-2011 21:00,1.20483
15-09-2011 21:00,1.20649
16-09-2011 21:00,1.20926
19-09-2011 21:00,1.20705
20-09-2011 21:00,1.216295
21-09-2011 21:00,1.22154
22-09-2011 21:00,1.223455
23-09-2011 21:00,1.222895
26-09-2011 21:00,1.220085
27-09-2011 21:00,1.21698
28-09-2011 21:00,1.21906
29-09-2011 21:00,1.219705
30-09-2011 21:00,1.214095
03-10-2011 21:00,1.214285
04-10-2011 21:00,1.22316
05-10-2011 21:00,1.232155
06-10-2011 21:00,1.23693
07-10-2011 21:00,1.240335
10-10-2011 21:00,1.23286
11-10-2011 21:00,1.239365
12-10-2011 21:00,1.234445
13-10-2011 21:00,1.23738
14-10-2011 21:00,1.23883
17-10-2011 21:00,1.23543
18-10-2011 21:00,1.236035
19-10-2011 21:00,1.24218
20-10-2011 21:00,1.231635
21-10-2011 21:00,1.22444
24-10-2011 21:00,1.22685
25-10-2011 21:00,1.221015
26-10-2011 21:00,1.22516
27-10-2011 21:00,1.22028
28-10-2011 21:00,1.22024
31-10-2011 21:00,1.21527
01-11-2011 21:00,1.21565
02-11-2011 21:00,1.215445
03-11-2011 21:00,1.213415
04-11-2011 21:00,1.220295
07-11-2011 22:00,1.240765
08-11-2011 22:00,1.23787
09-11-2011 22:00,1.231725
10-11-2011 22:00,1.232895
11-11-2011 22:00,1.239615
14-11-2011 22:00,1.238415
15-11-2011 22:00,1.238875
16-11-2011 22:00,1.237895
17-11-2011 22:00,1.24071
18-11-2011 22:00,1.239675
21-11-2011 22:00,1.237345
22-11-2011 22:00,1.234855
23-11-2011 22:00,1.22739
