,close,high,low,open,volume
1605120660,357.03,357.06,356.83,356.85,573
1605120720,357.02,357.11,357.01,357.03,518
1605120780,357.06,357.07,357.0,357.03,317
1605120840,357.05,357.13,357.03,357.06,332
1605120900,357.05,357.09,357.0,357.06,451
1605120960,356.97,357.13,356.91,357.05,711
1605121020,356.81,356.98,356.8,356.98,1342
1605121080,356.77,356.85,356.7,356.81,1288
1605121140,356.7,356.85,356.64,356.78,1032
1605121200,356.92,356.94,356.69,356.71,2038
1605121260,356.84,357.01,356.83,356.93,991
1605121320,356.89,356.91,356.83,356.84,442
1605121380,357.03,357.07,356.89,356.89,1233
1605121440,357.09,357.21,357.01,357.02,1178
1605121500,357.08,357.13,357.05,357.09,641
1605121560,357.09,357.14,357.03,357.08,649
1605121620,357.25,357.26,357.09,357.11,559
1605121680,357.22,357.28,357.18,357.24,358
1605121740,357.05,357.22,357.05,357.22,532
1605121800,357.09,357.14,357.03,357.04,472
1605121860,357.19,357.2,357.09,357.09,193
1605121920,357.17,357.22,357.12,357.18,338
1605121980,357.09,357.22,357.06,357.17,380
1605122040,356.97,357.13,356.96,357.09,562
1605122100,356.98,357.07,356.9,356.98,471
1605122160,356.86,357.02,356.85,356.98,485
1605122220,356.79,356.87,356.72,356.86,1007
1605122280,356.74,356.87,356.69,356.79,609
1605122340,356.75,356.77,356.65,356.75,576
1605122400,356.9,356.92,356.68,356.74,707
1605122460,356.94,356.99,356.88,356.92,635
1605122520,356.89,356.99,356.89,356.95,527
1605122580,356.77,356.94,356.76,356.88,348
1605122640,356.75,356.79,356.62,356.77,1172
1605122700,356.67,356.83,356.66,356.76,674
1605122760,356.41,356.67,356.35,356.67,1671
1605122820,356.39,356.43,356.32,356.41,603
1605122880,356.32,356.39,356.28,356.39,1313
1605122940,356.29,356.38,356.16,356.33,1100
1605123000,356.41,356.43,356.16,356.29,1044
1605123060,356.53,356.53,356.36,356.42,1739
1605123120,356.43,356.55,356.4,356.53,832
1605123180,356.38,356.44,356.23,356.41,908
1605123240,356.34,356.46,356.32,356.39,599
1605123300,356.31,356.37,356.2,356.34,593
1605123360,356.39,356.43,356.29,356.32,598
1605123420,356.42,356.5,356.37,356.38,518
1605123480,356.4,356.47,356.4,356.42,543
1605123540,356.19,356.41,356.11,356.4,1572
1605123600,355.86,356.2,355.84,356.19,1885
1605123660,355.7,355.96,355.68,355.87,1888
1605123720,355.91,355.92,355.7,355.7,1354
1605123780,355.85,356.01,355.78,355.91,1075
1605123840,356.09,356.1,355.85,355.86,1178
1605123900,355.88,356.1,355.88,356.09,905
1605123960,355.9,355.95,355.82,355.88,873
1605124020,355.63,355.95,355.61,355.91,1268
1605124080,355.25,355.64,355.13,355.64,3225
1605124140,355.31,355.37,355.21,355.23,1255
1605124200,355.11,355.36,355.06,355.32,2276
1605124260,355.35,355.38,355.11,355.12,1751
1605124320,355.51,355.57,355.3,355.34,1787
1605124380,355.52,355.55,355.32,355.5,1723
1605124440,355.55,355.61,355.5,355.52,991
1605124500,355.68,355.69,355.46,355.56,912
1605124560,355.79,355.85,355.67,355.68,1657
1605124620,355.74,355.86,355.73,355.79,1298
1605124680,355.74,355.78,355.62,355.74,970
1605124740,355.71,355.86,355.66,355.74,1135
1605124800,355.82,355.95,355.64,355.73,1275
1605124860,355.65,355.84,355.59,355.83,1237
1605124920,355.72,355.78,355.58,355.66,752
1605124980,355.7,355.82,355.68,355.72,844
1605125040,355.7,355.77,355.61,355.7,1118
1605125100,355.7,355.7,355.54,355.7,1346
1605125160,355.92,355.98,355.66,355.7,863
1605125220,355.88,355.91,355.81,355.91,540
1605125280,355.84,355.88,355.81,355.87,921
1605125340,356.0,356.03,355.78,355.84,829
1605125400,355.99,356.08,355.93,356.0,1562
1605125460,355.97,356.03,355.88,355.98,665
1605125520,355.93,355.97,355.87,355.97,568
1605125580,356.12,356.13,355.88,355.92,805
1605125640,356.21,356.23,356.1,356.13,1440
