,companyTickers,forward pe,price to book,forward eps,beta,quick ratio,debt to equity
UAA,UAA,11.432099,2.47197,0.81,1.340144,1.318,85.375
UA,UA,10.4625,2.0149255,0.8,1.266666,1.555,72.011
UNP,UNP,17.880316,11.169151,12.7,1.167305,0.481,264.485
UNH,UNH,21.640259,6.674229,24.74,0.774372,0.526,63.346
UPS,UPS,14.945677,10.481301,13.07,1.098765,1.354,147.762
URI,URI,12.487499,4.220811,25.6,1.839215,0.658,166.223
UHS,UHS,9.081549,1.3970551,12.14,1.161345,0.988,85.121
UNM,UNM,5.503448,0.6065673,5.8,1.369093,4.085,32.743
VLO,VLO,18.472456,2.5884857,5.99,1.981372,0.7,64.483
VRSK,VRSK,31.608696,11.240485,5.98,0.877941,0.417,127.001
VZ,VZ,8.761363,2.2586787,5.28,0.383567,0.54,205.118
VRTX,VRTX,20.435074,7.361219,13.4,0.612745,4.044,9.578
VFC,VFC,12.068966,5.2601156,3.77,1.457215,0.513,188.013
VTRS,VTRS,2.8328445,0.57271594,3.41,1.290336,0.511,109.034
VNO,VNO,42.394367,1.1286936,0.71,1.194607,3.963,125.885
VMC,VMC,26.209858,3.4045103,6.29,0.696078,1.331,71.069
WAB,WAB,16.912727,1.6930273,5.5,1.510429,0.649,45.034
WMT,WMT,19.723213,4.4752836,6.72,0.55098,0.264,63.573
WBA,WBA,8.541756,1.3132077,4.67,0.590464,0.394,122.711
DIS,DIS,19.383211,2.11299,5.48,1.237122,0.913,50.016
WM,WM,29.540686,9.527587,5.53,0.87549,0.692,188.735
WEC,WEC,22.584784,2.914656,4.6,0.284802,0.511,132.183
WST,WST,33.012657,10.348575,10.27,1.133248,2.207,13.715
WDC,WDC,5.9038463,1.2829086,8.32,1.491698,1.105,62.658
WRK,WRK,8.222222,0.9577874,5.13,1.119117,0.852,76.277
WY,WY,23.653849,2.530517,1.56,1.514261,2.419,46.921
WHR,WHR,6.9781404,2.1574893,25.16,1.708333,0.6,126.175
WMB,WMB,26.5625,3.6976619,1.28,1.303921,0.74,169.059
XEL,XEL,23.088327,2.5976932,3.17,0.366666,0.388,157.323
XYL,XYL,28.860758,5.1360025,3.16,1.068114,1.108,78.166
ZBRA,ZBRA,18.194416,6.803781,19.7,1.614215,0.619,38.907
ZBH,ZBH,15.39411,1.9146636,7.13,1.171562,0.641,53.098
ZTS,ZTS,31.313591,18.183105,5.74,0.728395,1.454,144.912
